# Source: Chimney.Services — cite as https://www.chimney.services/licensing
state,category_slug,credential_required,credential_name,issuing_body,statute,dollar_threshold,exam,local_overlay,source_urls,confidence,checked_date
Pennsylvania,gas-fireplace-service,registration,"HICPA Home Improvement Contractor registration (no statewide trade license for NG gas work; LP-gas facility/dealer registration under Act 61 of 2002 is separate)","PA Office of Attorney General (HICPA); PA Dept. of Labor & Industry BOIS (LP-gas)","HICPA (exact 73 P.S. section UNVERIFIED); Propane and Liquefied Petroleum Gas Act, Act 61 of 2002 (P.L. 421)",none,n,"y — Philadelphia (Master Plumber license for gas piping, ICC exam); Pittsburgh/Allegheny County (ACHD plumbing license)","https://www.phila.gov/services/permits-violations-licenses/get-a-license/trade-licenses/get-a-master-plumbers-license/; https://www.legis.state.pa.us/WU01/LI/LI/US/HTM/2002/0/0061..HTM; https://www.pa.gov/agencies/dli/programs-services/labor-management-relations/bureau-of-occupational-and-industrial-safety/liquified-petroleum-gas",high,2026-07-09
New Jersey,gas-fireplace-service,license,"Master Hearth Specialist (dedicated hearth-gas license; general gas appliance connections = Master HVACR Contractor or Master Plumber)","NJ Division of Consumer Affairs — State Board of Examiners of HVACR Contractors, Master Hearth Specialists Advisory Committee","N.J.S.A. 45:16A-33 (P.L.2019, c.260); N.J.S.A. 45:16A-1 et seq. (HVACR, P.L.2007, c.211); N.J.A.C. 13:32A-7.3",none,"y (NFI Master Hearth Professional certification prerequisite + 5 yrs experience)",n,"https://law.justia.com/codes/new-jersey/title-45/section-45-16a-33/; https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-13-32A-7-3; https://business.nj.gov/license/master-hearth-specialist",high,2026-07-09
New Jersey,gas-log-install,license,"Master Hearth Specialist (gas logs = hearth product/decorative appliance gas piping — same dedicated license)","NJ Division of Consumer Affairs — HVACR Board, Master Hearth Specialists Advisory Committee","N.J.S.A. 45:16A-33 (P.L.2019, c.260)",none,"y (NFI certification prerequisite)",n,"https://law.justia.com/codes/new-jersey/title-45/section-45-16a-33/",high,2026-07-09
New York,gas-fireplace-service,none,"No state gas-fitter/plumber license — gas trade licensing is entirely local","n/a statewide; NYC DOB and county/city boards locally","no state statute; NYC Local Law 150 of 2016 (gas work qualification) + NYC Construction Codes (LMP)",none,n,"y — NYC (Licensed Master Plumber OR Gas Work Qualification, mandatory since Jan 1 2020; LL152 periodic gas piping inspections); Nassau/Suffolk/Westchester/Buffalo license plumbers locally","https://www.nyc.gov/site/buildings/industry/gaswork-qualifications.page; https://www.plumbingfoundation.nyc/changes-in-training-and-qualification-requirements/",high,2026-07-09
Connecticut,gas-fireplace-service,license,"HPG-1 limited heating cooling contractor (gas hearth) / HPG-2 journeyperson — gas hearth product work incl. gas fireplaces, inserts, stoves, log sets + venting; fuel piping excluded (needs S-type or P-1 license)","CT Dept. of Consumer Protection (Heating, Piping, Cooling & Sheet Metal Work Examining Board)","Conn. Gen. Stat. Ch. 393, § 20-334a; Conn. Agencies Regs. § 20-332-5",none,"y (exam; NFI hearth certificate course prerequisite for HPG-1)",n,"https://portal.ct.gov/dcp/occupational-and-professional-division/occupational--profess/hearth-product-work----license-types-and-scope-of-work; https://www.cga.ct.gov/current/pub/chap_393.htm; https://www.law.cornell.edu/regulations/connecticut/Regs-Conn-State-Agencies-SS-20-332-5",high,2026-07-09
Connecticut,gas-log-install,license,"HPG-1/HPG-2 gas hearth installer — log sets expressly named in the gas hearth product work definition","CT Dept. of Consumer Protection","Conn. Gen. Stat. Ch. 393; Conn. Agencies Regs. § 20-332-5",none,y,n,"https://portal.ct.gov/dcp/occupational-and-professional-division/occupational--profess/hearth-product-work----license-types-and-scope-of-work",high,2026-07-09
Massachusetts,gas-fireplace-service,license,"Master / Journeyman Gas Fitter (separate Undiluted LP Gas Installer classes for LP)","MA Board of State Examiners of Plumbers and Gas Fitters (Division of Occupational Licensure)","M.G.L. c. 142, § 3; 248 CMR 3.00–11.00 (Fuel Gas Code 248 CMR 4.00–8.00)",none,"y (exam + mandatory CE, 248 CMR 11.04)",n,"https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXX/Chapter142/Section3; https://www.law.cornell.edu/regulations/massachusetts/248-CMR-11-02; https://www.mass.gov/lists/policies-regulations-and-statutes-for-plumbers-and-gas-fitters",high,2026-07-09
Maryland,gas-fireplace-service,license,"Master / Journey Natural Gas Fitter (non-plumber track; Master HVACR license also qualifies) + MHIC home-improvement license for the contracting layer","MD State Board of Plumbing, Div. of Occupational & Professional Licensing (HVACR Board under Bus. Occ. Title 9A)","Md. Code, Bus. Occ. & Prof. Title 12; COMAR Title 9.20",none,"y (70% pass exam)","y — Baltimore County and WSSC area (Montgomery/Prince George's) issue their own plumber/gas-fitter licenses","https://www.labor.maryland.gov/license/pl/plreq.shtml; https://onestop.md.gov/licenses/master-natural-gas-fitter-license-5d1540a254f24d03e9997d46; https://www.labor.maryland.gov/license/pl/pllicfaqs.shtml",high,2026-07-09
Virginia,gas-fireplace-service,license,"Tradesman Gas Fitter license — statute splits Liquefied Petroleum Gas Fitter vs Natural Gas Fitter Provider; definition includes chimneys/vents/direct vents + gas appliances; firm also needs DPOR Class A/B/C contractor license >=$1,000","VA DPOR Board for Contractors (Tradesmen Program)","Va. Code §§ 54.1-1128 to 54.1-1130; 18VAC50-30","$1,000 (contractor-license layer); tradesman duty has no threshold","y (exam § 54.1-1130 + 1 hr CE per renewal)",n,"https://law.lis.virginia.gov/vacode/title54.1/chapter11/section54.1-1129/; https://law.lis.virginia.gov/vacode/title54.1/chapter11/section54.1-1130/; https://www.dpor.virginia.gov/Boards/Tradesmen",high,2026-07-09
Ohio,gas-fireplace-service,none,"No statewide residential credential — OCILB HVAC/plumbing licenses are COMMERCIAL-only; residential gas work regulated locally; AG Home Construction Service Supplier registration only >$25k","OCILB (commercial); city/county building depts (residential); Ohio AG (HCSSA registration)","ORC Ch. 4740 (OCILB); HCSSA statute cite UNVERIFIED","$25,000 (HCSSA registration layer only)",n,"y — Columbus (Code Title 41 ch. 4114 trade licensing), Cleveland, Cincinnati (city registration/licensing)","https://adaptdigitalsolutions.com/articles/ohio-contractor-license-requirements/; https://www.simplywise.com/blog/ohio-contractor-license/; https://librarystage.municode.com/oh/columbus/codes/code_of_ordinances?nodeId=TIT41BUCO_CH4114LIREENPR_4114.513AP",medium,2026-07-09
