# Source: Chimney.Services — cite as https://www.chimney.services/rights
state,license_regime,registration_name,disclosure_law,chimney_item_on_form,three_day_cancel,co_law,lookup_url,researched_date
Alabama,"HBLB residential license required >$10,000 (Ala. Code 34-14A-2(12); roofers >$2,500); General Contractors Board >=$100,000 (34-8-1); none at/under $10k",no state HIC registration; local only (cities unverified),"NO — caveat emptor for resale, no mandatory seller form (case-law exceptions pending primary verification)",No,"PARTIAL — 5-19-12 covers consumer-credit home solicitation only (1 yr if no notice); cash sales via federal FTC Cooling-Off Rule","NONE at state level — no CO statute; landlord act 35-9A-204 silent; local IRC new construction only",hblb.alabama.gov,2026-09-15
Alaska,"NO competency license — state REGISTRATION (AS 08.18: General/Specialty/Mechanical/Handyman; bond + insurance, no exam) + Residential Contractor Endorsement (arctic-construction exam + cold-climate course, AS 08.18.025) only for new 1–4 unit homes or >25%-of-value alterations; no dollar-threshold exemption in AS 08.18.161; unregistered can't sue (AS 08.18.151); civil penalty ≤$1,000/violation/day (AS 08.18.131)","YES — CBPL; bonds $25k/$20k/$10k/$5k (AS 08.18.071); insurance $20k/$50k/$100k (AS 08.18.101)","YES — mandatory Form 08-4229 Rev. 05/2024 (AS 34.70.010): ""Chimneys,"" ""Fireplaces,"" ""Woodstove(s),"" ""Stove(s), Pellet"" + date chimney last cleaned and by whom; negligent = actual, wilful = up to treble (AS 34.70.090); waivable by written agreement (AS 34.70.110)",Yes — state form line items,"YES — 5 business days (door-to-door incl. phone, $10+, AS 45.02.350; not re-verified this pass)","strong — AS 18.70.095, smoke in all dwellings + CO in all qualifying dwellings statewide incl. existing homes + rentals",commerce.alaska.gov/cbp/main/search/professional,2026-09-15
Arizona,"state license (ROC, A.R.S. Title 32 ch. 10; required at $1,000+ or any permit job, handyman exemption § 32-1121(A)(14))","ROC contractor license (R-31/C-31 Masonry; R-45/C-45 Sheet Metal for patented chimneys) + Residential Recovery Fund ($30k cap, § 32-1136)","No statute (common-law duty, Hill v. Jones; customary AAR SPDS)","Unverified (AAR SPDS reportedly asks about fireplaces/woodstoves/chimneys; form not reached)","Yes (A.R.S. § 44-5004)","Limited (local IRC adoption for new construction; no statewide existing-home statute found)",roc.az.gov/search,2026-09-15
Arkansas,"YES — Home Improvement license over $2,000 (§§ 17-25-505, -513) incl. 'Chimneys, Fireplaces' specialty (Limited <$50k / Unlimited); Class A misd. per day + $100–400/day civil (§ 17-25-510)",roofers only (separate subch. 6),"NO — caveat emptor, voluntary AAR form only","N/A (no mandatory form; voluntary AAR form lists 'Chimneys, fireplaces and inserts')","YES (§ 4-89-107) + unlicensed can't sue (§ 17-25-515)","no statute located (§ 20-7-138 repealed 2013); code-only IRC R315 new construction",http://aclb2.arkansas.gov/clbsearch.php,2026-09-15
California,"state license (CSLB; required for jobs $1,000+ or any permit job, Bus. & Prof. Code § 7048)","CSLB contractor license (C-29 Masonry; C-61/D-34 factory-built fireplaces)","Yes (mandatory, non-waivable TDS, Civ. Code § 1102)","Partial (Fireplace(s) and CO Device(s) on feature checklist; no discrete chimney defect line)","Yes (3 business days; 5 for seniors, Civ. Code § 1689.6)","Broad (all existing dwellings with fossil-fuel appliance/fireplace/attached garage, H&S § 17926)",cslb.ca.gov,2026-09-15
Colorado,"NO state license (DORA licenses electrical/plumbing only) — LOCAL (Denver, Colorado Springs/PPRBD, county building depts)",local only,"CREC Commission-approved Seller's Property Disclosure (SPD19, 2026), broker-required; NOT a disclosure statute; actual knowledge","Yes — Fireplace, Heating Stove, Fireplace insert + ""Date fireplace/wood stove, chimney/flue last cleaned""","PARTIAL — state law for credit sales only (C.R.S. 5-3-401 to -405); cash door-to-door via federal FTC Cooling-Off Rule (16 CFR 429)","strong — sale trigger + multi-family + rentals (C.R.S. 38-45-102/103/104, HB 09-1091)",denvergov.org + pprbd.org + coag.gov,2026-09-15
Connecticut,"no license — mandatory HIC registration (>$200 job; <=$1,000/12mo excluded) + Guaranty Fund ($25k/claim)","Home Improvement Contractor (Home Improvement Act, Conn. Gen. Stat. 20-418)",Yes but $500-credit opt-out (20-327b/c),"Yes (Chimney, Fireplace, Wood or Coal Stove problems)",Yes,"Strong (mandatory pre-sale affidavit 29-453, no credit)",elicense.ct.gov,2026-09-15
Delaware,"NO state trade license — Division of Revenue contractor license (30 Del. C. 2502); non-resident 6% bond on contracts >=$20k (30 Del. C. 375); DPR licenses only electrical/plumbing/HVACR","DOL Contractor Registration (19 Del. C. Ch. 36, non-public) + DOJ Home Improvement Services Regulation (eff. 11/1/2023)","YES mandatory — 6 Del. C. 2572 / form 2578","Yes — DREC form rev. 8/1/2025 Sec. XIV fireplace/stove + Q150 flues/chimneys last cleaned/serviced","YES (6 Del. C. 4404, door-to-door $25+, 3 business days)",NARROW — lodging establishments only (16 Del. C. Ch. 66C); owner-occupied homes excluded,revenue.delaware.gov/business-license-search/,2026-09-15
District of Columbia,"YES — DLCP Basic Business License w/ Home Improvement Contractor endorsement at $300+ (16 DCMR ch. 8; 12-mo aggregation; cleaning-only sweeps outside 899.1 work definition on its text); $25k bond; unlicensed contractor taking ANY pre-completion payment → contract void + full disgorgement (16 DCMR § 800.1; Cevern v. Ferbish)","BBL system (bond + liability insurance + Clean Hands; DLCP fee $288.20)","YES, MANDATORY (D.C. Code § 42-1301 et seq.; Mayor-approved form, 17 DCMR § 2708)","Yes per REF mirror (fireplace/chimney/flues + last-serviced date) — UNVERIFIED on official form","YES (D.C. Code § 28-3811 home solicitation, 3 business days) + § 800.1 advance-payment bar for unlicensed","YES (D.C. Code § 6-751.02; owner duty, new and existing occupied dwellings; DOB enforces)",scout.dlcp.dc.gov,2026-09-15
Florida,"YES — DBPR/CILB (Fla. Stat. ch. 489): Certified (statewide) vs Registered (local); no statewide masonry certification found (local cards); minor-work exemption <$2,500 (489.103(9)); insurance by affidavit (489.115(5)(a)); no sweep license",statewide DBPR + county competency cards,"Johnson v. Davis (1985) — COMMON-LAW duty, NO statutory form (primary opinion check pending)",No form; common-law duty covers known non-observable defects (incl. bad flue),"YES — cash or credit >$25 (Fla. Stat. 501.021 et seq.)","new construction/additions only; names a fireplace (Fla. Stat. 553.885); no pre-sale mandate",myfloridalicense.com,2026-09-15
